,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
932,Tangerines,2013,8.1,73.0,45671,0.14,87
933,The Rules of the Game,1939,7.9,,28675,,110
934,Sherlock Jr.,1924,8.2,,48354,0.98,45
935,The Shop Around the Corner,1940,8.1,96.0,32382,0.2,99
936,The Return,2003,7.9,82.0,45168,0.5,110
937,Vera Drake,2004,7.6,83.0,25322,3.75,125
938,Chhichhore,2019,8.2,,49676,0.9,143
939,Dil Chahta Hai,2001,8.1,,71112,0.3,183
940,Beauty and the Beast,1946,7.9,92.0,26192,0.3,93
941,Pink,2016,8.1,,44111,1.24,136
942,Jean de Florette,1986,8.1,,25579,4.94,120
943,Le Dîner de Cons,1998,7.6,73.0,41068,4.07,80
944,Talvar,2015,8.1,,34620,0.34,132
945,Central Station,1998,8.0,80.0,39171,5.6,110
946,The Grand Illusion,1937,8.1,,36185,0.17,113
947,Fireworks,1997,7.7,,30242,0.23,103
948,Masaan,2015,8.1,,27397,,109
949,Joyeux Noel,2005,7.7,70.0,29622,1.05,116
950,Dilwale Dulhania Le Jayenge,1995,8.0,,68153,,181
951,English Vinglish,2012,7.8,,35897,1.67,134
952,Raatchasan,2018,8.3,,39168,,170
953,Love and Death,1975,7.7,89.0,38191,,85
954,Haider,2014,8.1,,54363,0.9,160
955,Udta Punjab,2016,7.7,,29958,,148
956,Bajrangi Bhaijaan,2015,8.1,,84799,8.18,163
957,Sullivan's Travels,1941,7.9,,26034,,90
958,Color It Yellow,2006,8.1,,118044,2.2,167
959,Zelig,1983,7.7,,41800,11.8,79
960,Elite Squad 2: The Enemy Within,2010,8.0,71.0,82348,0.1,115
961,"Rome, Open City",1945,8.0,,26094,,103
962,A Night at the Opera,1935,7.8,,32608,2.54,96
963,The Muppet Christmas Carol,1992,7.7,64.0,57463,27.28,85
964,"Carry On, Munna Bhai",2006,8.0,,46383,2.22,144
965,Tae Guk Gi: The Brotherhood of War,2004,8.0,64.0,39471,1.11,140
966,The Circus,1928,8.1,90.0,33267,,72
967,Andaz Apna Apna,1994,8.0,,52784,,160
968,Veer Zaara,2004,7.8,67.0,52218,2.92,192
969,A Wednesday,2008,8.1,,77870,,104
970,Sanjuro,1962,8.0,,37641,,96
971,96,2018,8.4,,28451,,158
972,Drishyam 2,2021,8.4,,34699,,152
973,Swades,2004,8.1,,89032,1.22,189
974,Udaan,2010,8.1,,44656,0.01,134
975,Airlift,2016,7.9,,56364,,130
976,Jab We Met,2007,7.9,,51890,0.41,138
977,The Bandit,1996,8.1,,69492,,128
978,Vicky Donor,2012,7.8,,42740,0.17,126
979,Dev.D,2009,7.9,,30392,0.01,144
980,Asuran,2019,8.5,,26150,,141
981,The Edge of Heaven,2007,7.7,85.0,31935,0.74,122
982,Sholay,1975,8.1,,54952,,162
983,Pad Man,2018,7.9,,25274,1.66,140
984,Let's Go! India,2007,8.1,68.0,79053,1.11,153
985,Hindi Medium,2017,7.8,,27893,,132
986,OMG: Oh My God!,2012,8.1,,57377,0.92,125
987,Queen,2013,8.1,,64973,1.43,146
988,Kahaani,2012,8.1,,62168,1.04,122
989,Paan Singh Tomar,2012,8.2,,35867,0.04,135
990,Vizontele,2001,8.0,,36271,,110
991,Hera Pheri,2000,8.1,,64931,,156
992,Bhaag Milkha Bhaag,2013,8.2,,66703,1.63,186
993,Drishyam,2013,8.3,,40259,,160
994,The Breath,2009,7.9,,33447,,128
995,Black,2005,8.1,,34711,0.73,122
996,Baby,2015,7.9,,56902,,159
997,Special 26,2013,8.0,,55443,1.08,144
998,Sarfarosh,1999,8.1,,25442,,174
999,Anand,1971,8.1,,33460,,122
