,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
184,The Notebook,2004,7.8,53.0,557119,81.0,123
185,"O Brother, Where Art Thou?",2000,7.7,69.0,305909,45.51,107
186,Green Book,2018,8.2,69.0,461768,85.08,130
187,Stardust,2007,7.6,66.0,268909,38.63,127
188,Shrek,2001,7.9,84.0,658197,267.67,90
189,The Help,2011,8.1,62.0,448922,169.71,146
190,La La Land,2016,8.0,94.0,563473,151.1,128
191,Edge of Tomorrow,2014,7.9,71.0,654429,100.21,113
192,Ratatouille,2007,8.1,96.0,700279,206.45,111
193,Blue Velvet,1986,7.7,76.0,194713,8.55,120
194,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1246987,290.48,124
195,Moneyball,2011,7.6,87.0,409750,75.61,133
196,The Sandlot,1993,7.8,55.0,88726,32.42,101
197,L.A. Confidential,1997,8.3,90.0,570359,64.62,138
198,Atonement,2007,7.8,85.0,271856,50.93,123
199,Reservoir Dogs,1992,8.3,79.0,988348,2.83,99
200,True Romance,1993,7.9,59.0,222708,12.28,119
201,Blue Is the Warmest Colour,2013,7.7,89.0,149074,2.2,180
202,The Exorcist,1973,8.1,81.0,390871,232.91,122
203,The Breakfast Club,1985,7.8,66.0,384949,45.88,97
204,Catch Me If You Can,2002,8.1,75.0,935599,164.62,141
205,2001: A Space Odyssey,1968,8.3,84.0,650129,56.95,149
206,The Social Network,2010,7.8,95.0,681405,96.96,120
207,Kill Bill: Vol. 1,2003,8.2,69.0,1081370,70.1,111
208,The Revenant,2015,8.0,76.0,775872,183.64,156
209,Edward Scissorhands,1990,7.9,74.0,476232,56.36,105
210,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,1018836,309.13,131
211,The Thing,1982,8.2,57.0,408402,13.78,109
212,Aladdin,1992,8.0,86.0,401453,217.35,90
213,Terminator 2: Judgment Day,1991,8.6,75.0,1065581,204.84,137
214,The Lord of the Rings: The Two Towers,2002,8.8,87.0,1601374,342.55,179
215,The Mitchells vs the Machines,2021,7.6,81.0,99966,,113
216,The Terminator,1984,8.1,84.0,839944,38.4,107
217,Mulholland Drive,2001,7.9,85.0,347296,7.22,147
218,X-Men: First Class,2011,7.7,65.0,678873,146.41,131
219,The Wizard of Oz,1939,8.1,92.0,388906,2.08,102
220,The Pianist,2002,8.5,85.0,803004,32.57,150
221,Jaws,1975,8.1,87.0,581266,260.0,124
222,Come and See,1985,8.4,,74436,,142
223,Brokeback Mountain,2005,7.7,87.0,349525,83.04,134
224,The Hateful Eight,2015,7.8,68.0,576812,54.12,168
225,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,488575,54.51,115
226,Big Fish,2003,8.0,58.0,435261,66.26,125
227,Amadeus,1984,8.4,88.0,392764,51.97,160
228,Superbad,2007,7.6,76.0,561520,121.46,113
229,The Boy in the Striped Pajamas,2008,7.7,55.0,212144,9.03,94
